Train Loss: 1.990, Train Acc: 0.154, Test Loss: 1.989, Test Acc: 0.155
Train Loss: 1.988, Train Acc: 0.154, Test Loss: 1.987, Test Acc: 0.155
Train Loss: 1.986, Train Acc: 0.154, Test Loss: 1.985, Test Acc: 0.155
Train Loss: 1.984, Train Acc: 0.154, Test Loss: 1.984, Test Acc: 0.155
Train Loss: 1.982, Train Acc: 0.154, Test Loss: 1.982, Test Acc: 0.155
Train Loss: 1.980, Train Acc: 0.154, Test Loss: 1.980, Test Acc: 0.155
Train Loss: 1.978, Train Acc: 0.154, Test Loss: 1.978, Test Acc: 0.155
Train Loss: 1.976, Train Acc: 0.154, Test Loss: 1.976, Test Acc: 0.155
Train Loss: 1.975, Train Acc: 0.154, Test Loss: 1.974, Test Acc: 0.155
Train Loss: 1.973, Train Acc: 0.154, Test Loss: 1.973, Test Acc: 0.155
Train Loss: 1.971, Train Acc: 0.154, Test Loss: 1.971, Test Acc: 0.155
Train Loss: 1.969, Train Acc: 0.154, Test Loss: 1.969, Test Acc: 0.155
Train Loss: 1.968, Train Acc: 0.154, Test Loss: 1.968, Test Acc: 0.155
Train Loss: 1.966, Train Acc: 0.154, Test Loss: 1.966, Test Acc: 0.155
Train Loss: 1.964, Train Acc: 0.154, Test Loss: 1.964, Test Acc: 0.155
Train Loss: 1.963, Train Acc: 0.154, Test Loss: 1.962, Test Acc: 0.155
Train Loss: 1.961, Train Acc: 0.154, Test Loss: 1.961, Test Acc: 0.155
Train Loss: 1.959, Train Acc: 0.154, Test Loss: 1.959, Test Acc: 0.155
Train Loss: 1.958, Train Acc: 0.154, Test Loss: 1.957, Test Acc: 0.155
Train Loss: 1.956, Train Acc: 0.154, Test Loss: 1.956, Test Acc: 0.155
Train Loss: 1.954, Train Acc: 0.154, Test Loss: 1.954, Test Acc: 0.155
Train Loss: 1.952, Train Acc: 0.154, Test Loss: 1.952, Test Acc: 0.155
